"Source:","/home/alejopm/Documents/zenite/MSWI19/pcb/mswi/mswi.sch"
"Date:","Wed 11 May 2022 10:47:42 AM -03"
"Tool:","Eeschema (6.0.5)"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","163"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Model","Mouser","Voltage"
"","","SW402","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_PUSH-12mm","~","","",""
"","","SW403","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_PUSH-12mm","~","","",""
"","","SW404","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_PUSH-12mm","~","","",""
"","","SW405","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_PUSH-12mm","~","","",""
"","","SW406","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_PUSH-12mm","~","","",""
"","","SW407","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_PUSH-12mm","~","","",""
"","","SW408","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_PUSH-12mm","~","","",""
"","","SW409","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_PUSH-12mm","~","","",""
"","","SW410","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_PUSH-12mm","~","","",""
"","","TP201","SI","Connector:TestPoint","TestPoint:TestPoint_Pad_2.0x2.0mm","~","","",""
"","","TP202","SO","Connector:TestPoint","TestPoint:TestPoint_Pad_2.0x2.0mm","~","","",""
"","","TP203","TXCAN","Connector:TestPoint","TestPoint:TestPoint_Pad_2.0x2.0mm","~","","",""
"","","TP204","RXCAN","Connector:TestPoint","TestPoint:TestPoint_Pad_2.0x2.0mm","~","","",""
"","","TP205","SC","Connector:TestPoint","TestPoint:TestPoint_Pad_2.0x2.0mm","~","","",""
"","","TP206","SCK","Connector:TestPoint","TestPoint:TestPoint_Pad_2.0x2.0mm","~","","",""
"","","TP207","CAN_H","Connector:TestPoint","TestPoint:TestPoint_Pad_2.0x2.0mm","~","","",""
"","","TP208","CAN_L","Connector:TestPoint","TestPoint:TestPoint_Pad_2.0x2.0mm","~","","",""
"","","TP209","INT","Connector:TestPoint","TestPoint:TestPoint_Pad_2.0x2.0mm","~","","",""
"","","TP301","TX","Connector:TestPoint","TestPoint:TestPoint_Pad_2.0x2.0mm","~","","",""
"","","TP302","RX","Connector:TestPoint","TestPoint:TestPoint_Pad_2.0x2.0mm","~","","",""
"","","TP303","RST","Connector:TestPoint","TestPoint:TestPoint_Pad_2.0x2.0mm","~","","",""
"","","TP304","SDA","Connector:TestPoint","TestPoint:TestPoint_Pad_2.0x2.0mm","~","","",""
"","","TP305","SCL","Connector:TestPoint","TestPoint:TestPoint_Pad_2.0x2.0mm","~","","",""
"","","TP306","BUZZ_in","Connector:TestPoint","TestPoint:TestPoint_Pad_2.0x2.0mm","~","","",""
"","","TP307","BUZZ_out","Connector:TestPoint","TestPoint:TestPoint_Pad_2.0x2.0mm","~","","",""
